image,label,original_image
img_00107.jpg,Tomato___Late_blight,e2f784ec-10de-4556-8dea-47c9d2c4e791___GHLB2 Leaf 147.2.JPG
img_00108.jpg,Tomato___Late_blight,04540250-4926-47a6-9240-e047a04befc5___GHLB2 Leaf 9019.JPG
img_00109.jpg,Tomato___healthy,fe0e2d7f-3aee-4c36-8fe1-661b4eacc994___GH_HL Leaf 507.1.JPG
img_00110.jpg,Tomato___Early_blight,ef7a2893-ca76-4f77-beb4-5bfcc729e324___RS_Erly.B 7454_180deg.JPG
img_00111.jpg,Tomato___Early_blight,313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_180deg.JPG
img_00112.jpg,Tomato___Late_blight,3c813cf8-6949-4e1f-b812-3530e3ab5c8b___RS_Late.B 4828_flipLR.JPG
img_00113.jpg,Tomato___Bacterial_spot,b16f21dc-39eb-45b5-a588-da778fa9ac44___GCREC_Bact.Sp 6351.JPG
img_00114.jpg,Tomato___Late_blight,3fb24ffc-0f4f-4990-99e9-d8170fc9f6cc___GHLB2 Leaf 131.2.JPG
img_00115.jpg,Tomato___healthy,f96987aa-d19d-415b-a68c-73a07a47d521___RS_HL 9736.JPG
img_00116.jpg,Tomato___Late_blight,1627cb48-dc80-46a1-bda0-b677c32fbf56___RS_Late.B 5066.JPG
img_00117.jpg,Tomato___Leaf_Mold,272c102c-6c18-4e3a-a64c-078bce56bde1___Crnl_L.Mold 6889_flipTB.JPG
img_00118.jpg,Tomato___Early_blight,ad898210-9539-4fe4-abf0-a568b57ff205___RS_Erly.B 6336.JPG
img_00119.jpg,Tomato___Bacterial_spot,311a6db6-e3a0-4e8c-bd17-9cbc62217770___GCREC_Bact.Sp 3107.JPG
img_00120.jpg,Tomato___Bacterial_spot,43f97b78-04ee-4092-a909-6fd9af60d1a6___GCREC_Bact.Sp 3330.JPG
img_00121.jpg,Tomato___Leaf_Mold,0595201b-049b-47ff-9e56-7e042932c0fe___Crnl_L.Mold 9179_180deg.JPG
img_00122.jpg,Tomato___Early_blight,ee69b7e2-34d6-455f-97f6-6f5c06216131___RS_Erly.B 7478_flipTB.JPG
img_00123.jpg,Tomato___Leaf_Mold,5033c868-7977-4a3f-9705-1fb656e64459___Crnl_L.Mold 6813_180deg.JPG
img_00124.jpg,Tomato___Bacterial_spot,60095dac-7012-47a0-8697-eade683994c3___UF.GRC_BS_Lab Leaf 0273.JPG
img_00125.jpg,Tomato___healthy,98f3de1f-2505-4e4b-94ad-fb16f66f27d8___RS_HL 9852.JPG
img_00126.jpg,Tomato___Bacterial_spot,bcc50c85-c7d1-4da7-a121-e15d028aef69___UF.GRC_BS_Lab Leaf 0295.JPG
img_00127.jpg,Tomato___Late_blight,5ee4e525-31bd-415c-9f64-30746c2434d7___RS_Late.B 4883_flipLR.JPG
img_00128.jpg,Tomato___Late_blight,5b95aab7-c5be-42e3-afc8-c99f7c1c2c0c___GHLB2 Leaf 8658.JPG
img_00129.jpg,Tomato___Early_blight,ecafc299-bc29-4b5a-9a9b-537362b81ed2___RS_Erly.B 7435.JPG
img_00130.jpg,Tomato___Early_blight,42ee69ea-4c2d-4e65-9c66-e3154dd08375___RS_Erly.B 8428.JPG
img_00131.jpg,Tomato___Late_blight,20593434-37e3-490e-b619-cdb3d6515517___GHLB2 Leaf 8688.JPG
img_00132.jpg,Tomato___Leaf_Mold,b7b92cf5-cdc9-4f6b-a844-b5a1d0042230___Crnl_L.Mold 6790_180deg.JPG
img_00133.jpg,Tomato___Early_blight,d3ebceea-8021-4168-85a4-27ef48cdaacb___RS_Erly.B 7857_flipTB.JPG
img_00134.jpg,Tomato___Early_blight,b24f8f98-4bfe-4605-85f5-738fc09e58fe___RS_Erly.B 6406_180deg.JPG
img_00135.jpg,Tomato___Leaf_Mold,6a43fd4b-43d1-4539-8878-ad72d770b74f___Crnl_L.Mold 9039.JPG
img_00136.jpg,Tomato___Late_blight,2e5a8b76-c1d5-432c-bbde-7589e087b120___GHLB2 Leaf 8976.JPG
img_00137.jpg,Tomato___healthy,0d91db63-181b-4c3a-939b-181cc812e466___RS_HL 0308_180deg.JPG
img_00138.jpg,Tomato___Leaf_Mold,c5194079-bfc0-40d3-bc7e-d379bce83eaf___Crnl_L.Mold 6705_flipTB.JPG
img_00139.jpg,Tomato___Leaf_Mold,dbbb1200-16e8-4842-acbf-57ccd1afc2dc___Crnl_L.Mold 7035.JPG
img_00140.jpg,Tomato___Late_blight,0c73c79f-a384-4729-83c7-72c9b04da20c___GHLB2 Leaf 8927.JPG
img_00141.jpg,Tomato___Bacterial_spot,a9b47216-7d6d-46f6-b029-7aacd6f26113___UF.GRC_BS_Lab Leaf 0862.JPG
img_00142.jpg,Tomato___healthy,5df79085-2c00-41d6-ac0f-33a831a16d89___RS_HL 9634.JPG
img_00143.jpg,Tomato___Late_blight,729bd3cf-64cc-40d3-9cec-5f52e3c3aeb3___RS_Late.B 5630.JPG
img_00144.jpg,Tomato___Late_blight,555b889a-d22e-4371-bd35-21ae629604ff___RS_Late.B 6742.JPG
img_00145.jpg,Tomato___healthy,b0bf12cb-8868-4762-bd27-8cb3ebf69594___GH_HL Leaf 512.1.JPG
img_00146.jpg,Tomato___Early_blight,5592a349-b19a-4fe8-a131-a89bbae8b655___RS_Erly.B 7474.JPG
img_00147.jpg,Tomato___Leaf_Mold,dc61dd2d-7b0f-4927-a3af-4ad0c71bda15___Crnl_L.Mold 6561.JPG
img_00148.jpg,Tomato___Early_blight,121e9cbe-77d2-43ca-8e04-17a556a1c2b2___RS_Erly.B 7512_flipTB.JPG
img_00149.jpg,Tomato___Late_blight,66f03c1a-6810-41b2-93cb-ccc1630a18d4___RS_Late.B 4882.JPG
img_00150.jpg,Tomato___Leaf_Mold,0ac36661-a47d-47ff-8948-42edec033b87___Crnl_L.Mold 9127.JPG
img_00151.jpg,Tomato___Late_blight,8b58a065-ad58-4f19-b621-5e6eb2d77993___RS_Late.B 7131_flipLR.JPG
img_00152.jpg,Tomato___Late_blight,076b2ce4-1c8f-42a6-9f7d-b0be9c0a01cd___RS_Late.B 5108.JPG
img_00153.jpg,Tomato___Early_blight,fb2aaea3-f1cd-49c3-aa02-b640c62e59f5___RS_Erly.B 9389.JPG
img_00154.jpg,Tomato___Leaf_Mold,968a26f7-e05e-429f-9fed-5f9b0ec9eec6___Crnl_L.Mold 6902.JPG
img_00155.jpg,Tomato___healthy,62c36cad-2102-451d-aca7-93f2e58e14ab___RS_HL 0481.JPG
img_00156.jpg,Tomato___Late_blight,f2443e0e-d34e-4e25-aa5d-9653e2dd36ca___RS_Late.B 6465.JPG
img_00157.jpg,Tomato___Leaf_Mold,70e4ee54-f85e-461b-a35b-e35deb567620___Crnl_L.Mold 6516.JPG
img_00158.jpg,Tomato___Late_blight,e1fa1e4a-7259-496f-8066-79678f36f3e8___GHLB2 Leaf 8593.JPG
img_00159.jpg,Tomato___Late_blight,f91c4442-ad78-4785-b1a4-239b45b56ca1___GHLB2 Leaf 110.1.JPG
img_00160.jpg,Tomato___Early_blight,e20f17f5-507c-45a8-8f6e-fcd76b29e564___RS_Erly.B 7694.JPG
img_00161.jpg,Tomato___Leaf_Mold,fef7ee3c-0242-4054-ab99-c010ceda9836___Crnl_L.Mold 9025_flipTB.JPG
img_00162.jpg,Tomato___Late_blight,0a8967d4-bb72-4fe4-8096-55fc57437557___RS_Late.B 6974_flipLR.JPG
img_00163.jpg,Tomato___Early_blight,7b085d56-6867-4946-8208-5823afeba034___RS_Erly.B 7384.JPG
img_00164.jpg,Tomato___Bacterial_spot,6322dd1e-a6fa-462c-b985-1f9188da0d95___GCREC_Bact.Sp 5972.JPG
img_00165.jpg,Tomato___Late_blight,89226dd4-357b-4532-82d6-adeb7724e5e8___RS_Late.B 5387.JPG
img_00166.jpg,Tomato___Early_blight,e87f8d6a-9728-4d12-b6b3-e07c77db939b___RS_Erly.B 9576_flipTB.JPG
img_00167.jpg,Tomato___Late_blight,0893ac69-4004-4577-b4aa-496983116208___GHLB2 Leaf 8738.JPG
img_00168.jpg,Tomato___Early_blight,a442ef7e-3c93-45d9-85c0-5fa66fe32bb8___RS_Erly.B 7504.JPG
img_00169.jpg,Tomato___Leaf_Mold,91c943e8-a79e-4a0d-b882-f372655f571b___Crnl_L.Mold 9132.JPG
img_00170.jpg,Tomato___Bacterial_spot,3b41dc98-4539-4b3d-9400-2867156db0fc___GCREC_Bact.Sp 3483.JPG
img_00171.jpg,Tomato___Leaf_Mold,921e0584-a414-4905-99e6-6d37a49427bc___Crnl_L.Mold 8941_180deg.JPG
img_00172.jpg,Tomato___Early_blight,21ffaf6b-7ad0-45bf-bd7e-7d697413ebbd___RS_Erly.B 9500.JPG
img_00173.jpg,Tomato___healthy,6d6f479a-d165-46b3-95d8-43c4778c23f9___GH_HL Leaf 205.1.JPG
img_00174.jpg,Tomato___Late_blight,830c33b8-d419-4fb7-98f8-08387e726648___GHLB_PS Leaf 1.5 Day 16.jpg
img_00175.jpg,Tomato___Early_blight,9305f21d-4558-49ae-b831-a7a1a4d399c2___RS_Erly.B 7417_180deg.JPG
img_00176.jpg,Tomato___Late_blight,4cdd9b83-3ec9-40af-b402-a96827e69b84___GHLB2 Leaf 8554.JPG
img_00177.jpg,Tomato___healthy,991e23a3-fcbf-492b-8972-625779855b0e___RS_HL 0486.JPG
img_00178.jpg,Tomato___Early_blight,8824899d-1dce-4729-860b-336d563bc268___RS_Erly.B 7837_flipTB.JPG
img_00179.jpg,Tomato___healthy,1d8bb370-3c10-4806-b2ff-1621e21355ba___RS_HL 9882_180deg.JPG
img_00180.jpg,Tomato___Leaf_Mold,e9a29961-5b3e-47a8-b2aa-b8d0ba9f2a80___Crnl_L.Mold 6838_180deg.JPG
img_00181.jpg,Tomato___Late_blight,91b7baba-9b15-4f24-9db7-86ca95ac884c___GHLB2 Leaf 9087.JPG
img_00182.jpg,Tomato___healthy,0aacdad5-c9b9-4309-96e3-0797bbed1375___RS_HL 9836_newPixel25.JPG
img_00183.jpg,Tomato___Bacterial_spot,a207f1b6-9f64-4d3c-80ca-db47faa91c97___GCREC_Bact.Sp 2951.JPG
img_00184.jpg,Tomato___healthy,0fd3432a-e22a-4a71-9a63-1c56ee4ce067___GH_HL Leaf 463.1_new30degFlipLR.JPG
img_00185.jpg,Tomato___healthy,1d10291e-a1ce-4309-b6a4-d034319e3875___GH_HL Leaf 251.1_180deg.JPG
img_00186.jpg,Tomato___Leaf_Mold,2a27ed39-5f6c-490e-8dae-8b1df4683dbc___Crnl_L.Mold 9099.JPG
img_00187.jpg,Tomato___Leaf_Mold,09240d05-a928-4491-9f13-ee42b693e2bd___Crnl_L.Mold 6610.JPG
img_00188.jpg,Tomato___Bacterial_spot,6b68592a-aa06-4fac-ac47-b6d341e6f45e___UF.GRC_BS_Lab Leaf 0343.JPG
img_00189.jpg,Tomato___Late_blight,993a04d9-3bfe-4cd2-8f89-981a0bb2405c___RS_Late.B 4956.JPG
img_00190.jpg,Tomato___Bacterial_spot,92ad5b62-cec5-424b-81a6-38b6c40c0c89___GCREC_Bact.Sp 6042.JPG
img_00191.jpg,Tomato___Bacterial_spot,2a9c6104-6e28-444a-aa97-027020004409___GCREC_Bact.Sp 3605.JPG
img_00192.jpg,Tomato___Early_blight,54d55df4-c760-4191-b998-d1e1493a35f5___RS_Erly.B 7524_flipTB.JPG
img_00193.jpg,Tomato___healthy,0031da2a-8edd-468f-a8b1-106657717a32___RS_HL 0105.JPG
img_00194.jpg,Tomato___Leaf_Mold,8d6e2d0b-672d-4737-8973-17a9f31517a8___Crnl_L.Mold 7070.JPG
img_00195.jpg,Tomato___healthy,31e077d4-97f5-4e4c-8b76-e2ccbf52ed2d___RS_HL 0460.JPG
img_00196.jpg,Tomato___Bacterial_spot,cda5f764-3abe-4d1f-8fa3-b317f08bf012___GCREC_Bact.Sp 3618.JPG
img_00197.jpg,Tomato___Bacterial_spot,f92bb674-d3ff-480e-aa28-53d227491d95___GCREC_Bact.Sp 5949.JPG
img_00198.jpg,Tomato___Early_blight,ef7a2893-ca76-4f77-beb4-5bfcc729e324___RS_Erly.B 7454.JPG
img_00199.jpg,Tomato___healthy,0b330273-890c-4995-af72-cba070fc0061___GH_HL Leaf 312_new30degFlipLR.JPG
img_00200.jpg,Tomato___Early_blight,422802e1-cee5-43b7-b735-7f90b5e5d4e2___RS_Erly.B 7349_flipTB.JPG
img_00201.jpg,Tomato___healthy,47b93075-4991-4f6a-8510-5fe75a73567f___RS_HL 9719.JPG
img_00202.jpg,Tomato___healthy,96bf0aea-6bf2-4ad8-8fa9-bbbc30be4967___RS_HL 0200.JPG
img_00203.jpg,Tomato___Early_blight,17a09abf-ee69-4d46-ac80-f8608d799b19___RS_Erly.B 7451.JPG
img_00204.jpg,Tomato___Late_blight,80143d7f-db3e-4ed8-8a20-647dc0caa908___GHLB2 Leaf 78.JPG
img_00205.jpg,Tomato___Leaf_Mold,d23729f0-3d5c-4e13-abd2-5cc7f21a51ee___Crnl_L.Mold 6976_flipTB.JPG
img_00206.jpg,Tomato___Late_blight,7a163b85-1356-4b3e-98f2-2d24b3a1adaf___RS_Late.B 6802.JPG
img_00207.jpg,Tomato___Bacterial_spot,a601d086-0999-4318-ac04-a4bbc7b64e5e___GCREC_Bact.Sp 2975.JPG
img_00208.jpg,Tomato___Early_blight,964b07f8-2eb7-45b4-9ac8-79ec296b1655___RS_Erly.B 7378_flipTB.JPG
